
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:EE:B7:60:F4:B5, 2022-05-21 17:25:35, 2022-05-21 17:25:35, 11, 270, WPA2, CCMP TKIP, PSK, -92,        6,        0,   0.  0.  0.  0,  12, netis_60F4B5, 
B4:F5:8E:11:6F:48, 2022-05-21 17:25:34, 2022-05-21 17:25:34,  9, 270, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  17, ALBtelecom-Irineo, 
5C:35:3B:B2:23:25, 2022-05-21 17:25:32, 2022-05-21 17:25:36,  1, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  13, telenet-22320, 
CC:64:A6:C6:05:E1, 2022-05-21 17:25:32, 2022-05-21 17:25:32,  1, 130, WPA2, CCMP TKIP, PSK, -89,        1,        0,   0.  0.  0.  0,   6, Teleco, 
94:0B:19:FD:4E:C4, 2022-05-21 17:25:35, 2022-05-21 17:25:35, 10, 130, WPA2, CCMP TKIP, PSK, -89,        3,        0,   0.  0.  0.  0,  15, ALBtelecom-WIFI, 
34:4D:EA:0C:ED:43, 2022-05-21 17:25:35, 2022-05-21 17:25:35,  6, 130, WPA, CCMP TKIP, PSK, -88,        1,        0,   0.  0.  0.  0,   9, Mondial 4, 
9E:93:4E:3E:6C:84, 2022-05-21 17:25:35, 2022-05-21 17:25:35, 11,  54, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  24, DIRECT-CQWorkCentre 3025, 
3C:F8:08:36:2D:CC, 2022-05-21 17:25:34, 2022-05-21 17:25:34,  9, 130, WPA2, CCMP TKIP, PSK, -86,        2,        0,   0.  0.  0.  0,  11, TRING NARDI, 
DC:53:7C:45:51:76, 2022-05-21 17:25:32, 2022-05-21 17:25:36,  1, 130, WPA2, CCMP TKIP, PSK, -85,        5,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
C8:8D:83:50:52:12, 2022-05-21 17:25:34, 2022-05-21 17:25:35,  4, 130, WPA2, CCMP TKIP, PSK, -84,        3,        0,   0.  0.  0.  0,   6, Jonida, 
64:EE:B7:B9:64:5B, 2022-05-21 17:25:33, 2022-05-21 17:25:37,  2, 270, WPA2, CCMP TKIP, PSK, -82,       24,        0,   0.  0.  0.  0,   6, Fatmir, 
38:43:7D:4F:2D:08, 2022-05-21 17:25:32, 2022-05-21 17:25:36,  1, 195, WPA, CCMP TKIP, PSK, -81,        4,        1,   0.  0.  0.  0,   7, ONO6C32, 
50:78:B3:D5:92:AC, 2022-05-21 17:25:35, 2022-05-21 17:25:35, 11, 130, WPA2, CCMP TKIP, PSK, -80,        3,        0,   0.  0.  0.  0,  17, ALBtelecom-Donald, 
E4:47:B3:EF:69:6E, 2022-05-21 17:25:33, 2022-05-21 17:25:37,  3, 130, WPA2, CCMP TKIP, PSK, -79,       14,        5,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
08:C0:21:33:D1:A0, 2022-05-21 17:25:33, 2022-05-21 17:25:37,  8, 130, WPA2, CCMP TKIP, PSK, -78,        6,        0,   0.  0.  0.  0,  12, TRING ASLLAN, 
50:78:B3:D5:88:84, 2022-05-21 17:25:34, 2022-05-21 17:25:37,  9, 130, WPA2, CCMP TKIP, PSK, -74,        4,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
E4:72:E2:E5:B0:28, 2022-05-21 17:25:32, 2022-05-21 17:25:36, 11, 130, WPA2, CCMP TKIP, PSK, -66,        4,        0,   0.  0.  0.  0,   6, EDUART, 
00:2E:C7:3F:0C:28, 2022-05-21 17:25:34, 2022-05-21 17:25:37,  4, 130, WPA2, CCMP TKIP, PSK, -66,        8,        0,   0.  0.  0.  0,   6, JETMIR, 
80:14:A8:F4:09:D8, 2022-05-21 17:25:35, 2022-05-21 17:25:36,  6, 270, WPA2, CCMP TKIP, PSK, -57,        6,        0,   0.  0.  0.  0,   8, Telekooo, 
5C:35:3B:82:44:59, 2022-05-21 17:25:32, 2022-05-21 17:25:36,  6, 130, WPA2, CCMP TKIP, PSK, -40,        8,        1,   0.  0.  0.  0,   4, KUKA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
80:4E:70:7F:67:10, 2022-05-21 17:25:35, 2022-05-21 17:25:35, -69,        1, E4:72:E2:E5:B0:28,
B8:C6:AA:43:2D:83, 2022-05-21 17:25:37, 2022-05-21 17:25:37,  -1,        3, E4:47:B3:EF:69:6E,

