
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:EE:B7:B9:64:5B, 2022-05-21 19:58:16, 2022-05-21 19:58:17,  2, 270, WPA2, CCMP TKIP, PSK, -87,       11,        0,   0.  0.  0.  0,   6, Fatmir, 
5C:35:3B:B2:23:25, 2022-05-21 19:58:16, 2022-05-21 19:58:16,  1, 130, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  13, telenet-22320, 
DC:53:7C:45:51:76, 2022-05-21 19:58:16, 2022-05-21 19:58:16,  1, 130, WPA2, CCMP TKIP, PSK, -88,        2,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
38:43:7D:4F:2D:08, 2022-05-21 19:58:16, 2022-05-21 19:58:16,  1, 195, WPA, CCMP TKIP, PSK, -78,        2,        0,   0.  0.  0.  0,   7, ONO6C32, 
08:C0:21:33:D1:A0, 2022-05-21 19:58:16, 2022-05-21 19:58:18,  8, 130, WPA2, CCMP TKIP, PSK, -76,        5,        1,   0.  0.  0.  0,  12, TRING ASLLAN, 
5C:35:3B:82:44:59, 2022-05-21 19:58:16, 2022-05-21 19:58:16,  6, 130, WPA2, CCMP TKIP, PSK, -40,        1,        0,   0.  0.  0.  0,   4, KUKA, 
E4:47:B3:EF:69:6E, 2022-05-21 19:58:17, 2022-05-21 19:58:18,  3, 130, WPA2, CCMP TKIP, PSK, -84,        6,        0,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
C8:8D:83:50:52:12, 2022-05-21 19:58:17, 2022-05-21 19:58:18,  4, 130, WPA2, CCMP TKIP, PSK, -89,        3,        0,   0.  0.  0.  0,   6, Jonida, 
3C:F8:08:36:2D:CC, 2022-05-21 19:58:18, 2022-05-21 19:58:18,  9, 130, WPA2, CCMP TKIP, PSK, -87,        3,        0,   0.  0.  0.  0,  11, TRING NARDI, 
50:78:B3:D5:88:84, 2022-05-21 19:58:18, 2022-05-21 19:58:18,  9, 130, WPA2, CCMP TKIP, PSK, -77,        3,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
64:EE:B7:60:A4:A6, 2022-05-21 19:58:18, 2022-05-21 19:58:18,  4, 270, WPA2, CCMP TKIP, PSK, -91,        4,        0,   0.  0.  0.  0,  11, BAR-GALERIA, 
00:2E:C7:3F:0C:28, 2022-05-21 19:58:18, 2022-05-21 19:58:18, 11, 130, WPA2, CCMP TKIP, PSK, -66,        1,        0,   0.  0.  0.  0,   6, JETMIR, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C2:E9:92:8C:D8:AC, 2022-05-21 19:58:17, 2022-05-21 19:58:18, -81,        2, 08:C0:21:33:D1:A0,
3E:30:5C:B0:5F:7C, 2022-05-21 19:58:17, 2022-05-21 19:58:17,  -1,        1, 08:C0:21:33:D1:A0,
FE:59:E6:37:23:23, 2022-05-21 19:58:17, 2022-05-21 19:58:18, -83,        4, E4:47:B3:EF:69:6E,

